run_id,condition,is_injected_failure,should_pass,model_validation,evidence_complete,ai_discovery_present,evaluation_result,evaluation_internal_consistent,approval,trace_consistent,run_available,evidence_pack_present,events_content_sha256_match,export_digest_match,artifact_bound_verification,policy_version_match,approval_is_stale,causal_evaluation_before_approval,run_id_matches_decision_scope,baseline_verdict,pipeline_baseline_verdict,gate_verdict,expected_gate_verdict,gate_matches_rubric
cfi-0020,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0021,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0022,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0023,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0024,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0025,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0026,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0027,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0028,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0029,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0030,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0031,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0032,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0033,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0034,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0035,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0036,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0037,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0038,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0039,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0040,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0041,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0042,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0043,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0044,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0045,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0046,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0047,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0048,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0049,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0050,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0051,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0052,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0053,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0054,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0055,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0056,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0057,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0058,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0059,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0060,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0061,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0062,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0063,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0064,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0065,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0066,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0067,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0068,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0069,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0070,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0071,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0072,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0073,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0074,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0075,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0076,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0077,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0078,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0079,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0080,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0081,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0082,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0083,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0084,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0085,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0086,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0087,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0088,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0089,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0090,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0091,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0092,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0093,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0094,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0095,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0096,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0097,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0098,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0099,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0100,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0101,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0102,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0103,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0104,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0105,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0106,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0107,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0108,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0109,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0110,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0111,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0112,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0113,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0114,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0115,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0116,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0117,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0118,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0119,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0120,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0121,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0122,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0123,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0124,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0125,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0126,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0127,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0128,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0129,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0130,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0131,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0132,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0133,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0134,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0135,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0136,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0137,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0138,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0139,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0140,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0141,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0142,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0143,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0144,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0145,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0146,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0147,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0148,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0149,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0150,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0151,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0152,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0153,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0154,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0155,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0156,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0157,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0158,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0159,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0160,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0161,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0162,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0163,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0164,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0165,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0166,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0167,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0168,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0169,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0170,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0171,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0172,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0173,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0174,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0175,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0176,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0177,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0178,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
cfi-0179,noisy_but_valid_metadata,False,True,failed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,INVALID,INVALID,VALID,VALID,True
